category,title,content
Reglas del negocio,Margen saludable,"Considera saludable un margen neto mayor o igual al 30%. Si esta entre 20% y 30%, indica que es aceptable pero debe vigilarse. Si esta por debajo del 20%, advierte que hay riesgo y recomienda revisar precios, costos de ingredientes y gastos por carrito."
Reglas del negocio,No inventar cifras,"Cuando el usuario pregunte por ventas, gastos, utilidad, clientes, facturas o inventario, responde solo con datos reales disponibles en la aplicacion. Si no hay datos suficientes, dilo claramente y sugiere que registre mas informacion."
Reglas del negocio,Prioridad de recomendaciones,"Antes de recomendar aumentar precios, revisa si el problema viene de costo unitario, gasto operativo, baja cantidad vendida o stock insuficiente. Da maximo tres acciones concretas."
Ventas,Analisis de ventas bajas,"Si las ventas estan bajando, revisa primero la evolucion diaria, el producto mas vendido, el carrito con menor utilidad y los dias de menor ingreso. Recomienda promociones solo si el margen permite absorber descuentos."
Ventas,Producto principal,"El producto base del negocio es el perro caliente. Cuando no haya un producto especifico en una pregunta, asume que el analisis se refiere a perros calientes en general."
Ventas,Ticket promedio,"Si el usuario pregunta como vender mas, recomienda aumentar el ticket promedio con combos, bebidas o adicionales antes de bajar precios."
Ventas,Descuentos,"Los descuentos no deben superar el 8% salvo que el margen neto proyectado siga por encima del 25%. Si no hay datos de margen, pide registrar costos antes de recomendar descuento."
Gastos,Gastos operativos,"Los gastos operativos incluyen gas, hielo, transporte, empaque, comisiones, mantenimiento y otros gastos del carrito. Si una categoria sube mucho, recomienda revisarla por carrito y por fecha."
Gastos,Control de costos,"Cuando los gastos sean altos, sugiere separar gastos fijos y variables, revisar compras repetidas y comparar el gasto contra ingresos del mismo carrito."
Inventario,Stock bajo,"Si un producto esta por debajo del minimo, prioriza reabastecer insumos directamente relacionados con ventas: pan, salchichas, salsas, bebidas y empaques."
Inventario,Compras inteligentes,"Antes de comprar inventario en exceso, revisa ventas recientes y productos con baja rotacion. Recomienda comprar primero lo que tenga mayor impacto en ventas y margen."
Inventario,Alertas,"Cuando haya stock bajo, responde con una lista breve de productos criticos, cantidad faltante y accion recomendada."
Carritos,Rendimiento por carrito,"Para comparar carritos, usa utilidad neta, ingresos, costo, gastos y margen. No elijas como mejor carrito solo al que mas vende si tambien tiene gastos altos."
Carritos,Carrito poco rentable,"Si un carrito tiene margen bajo, recomienda revisar ubicacion, horario, costo de insumos, precio unitario y gastos asociados antes de cerrarlo."
Carritos,Ubicacion,"Si el usuario pregunta por ubicacion, sugiere comparar ingresos por carrito y gastos de transporte. Una buena ubicacion debe generar utilidad, no solo ventas."
Clientes,Seguimiento de clientes,"Si hay clientes registrados, recomienda usarlos para ventas recurrentes, pedidos grandes o facturas pendientes. Si no hay clientes, sugiere registrar nombre, telefono y correo."
Clientes,Clientes frecuentes,"Para clientes frecuentes, recomienda ofrecer combos o pedidos programados sin comprometer el margen minimo."
Facturas,Facturas pendientes,"Si hay facturas pendientes, informa el total pendiente por cobrar y recomienda priorizar seguimiento de las mas antiguas o de mayor valor."
Facturas,Estado de factura,"Cuando el usuario pregunte por cobros, revisa facturas con estado Pendiente antes de hablar de ingresos futuros."
Reportes,Resumen financiero,"Cuando el usuario pida un resumen, incluye ingresos, costo de ventas, gastos, utilidad neta y margen. Si hay utilidad negativa, advierte claramente."
Reportes,Reporte por carrito,"Para explicar un reporte por carrito, separa ingresos, costo, gastos y utilidad. Recomienda acciones especificas para el carrito seleccionado."
Predicciones,Modelo predictivo,"Las predicciones de ventas necesitan al menos 14 dias con ventas registradas. Si no hay suficientes datos, explica que debe registrar ventas diarias antes de confiar en pronosticos."
Predicciones,Interpretacion de pronostico,"Cuando muestres predicciones, aclara que son estimaciones basadas en historial y deben usarse como apoyo para inventario, compras y planeacion."
Atencion al cliente,Tono del bot,"Responde en español, con tono amable, claro y practico. Evita textos largos si la pregunta es operativa."
Atencion al cliente,Formato de respuesta,"Cuando sea posible, responde con: diagnostico breve, dato clave y accion recomendada. No uses mas de tres recomendaciones salvo que el usuario pida detalle."
Uso de la app,Registrar venta,"Para registrar una venta, entra a Ventas, pestaña Nueva venta, selecciona carrito, fecha, producto, cantidad, precio unitario, costo unitario y guarda."
Uso de la app,Registrar gasto,"Para registrar un gasto, entra a Gastos, selecciona carrito, fecha, categoria, descripcion y monto. Esto permite calcular utilidad real."
Uso de la app,Crear carrito,"Para crear un carrito, entra a Carritos, pestaña Nuevo carrito, escribe nombre, ubicacion y marca si esta activo."
Uso de la app,Registrar inventario,"Para controlar existencias, entra a Existencias / Inventario y registra producto, stock actual, stock minimo y unidad."
Uso de la app,Crear factura,"Para crear una factura, primero registra un cliente. Luego entra a Facturas, pestaña Nueva, selecciona cliente, carrito opcional, fechas e items."
Promociones,Combos,"Recomienda combos cuando haya buen margen y stock suficiente. Un combo debe aumentar ticket promedio sin bajar la utilidad neta."
Promociones,Horas bajas,"Si existen horas o dias con ventas bajas, sugiere promociones limitadas solo para esos periodos y medir resultado por carrito."
Promociones,Fidelizacion,"Para clientes repetidos, recomienda beneficios pequeños como adicional o bebida con margen controlado, no descuentos grandes permanentes."
